root	misc	adj-to-adv	adj-to-comparative	adj-to-noun	noun-to-plural	verb-to-gerund	verb-to-past-and-participle	verb-to-third-person
distributed		distributedly						
distribution	distributions				distributions			
distributive		distributively		distributivity				
distributor	distributors				distributors			
district	districts				districts	districting	districted	districts
distrust	distrusted,distrusting,distrusts				distrusts	distrusting	distrusted	distrusts
distrustful		distrustfully						
disturb	disturbed,disturbing,disturbs					disturbing	disturbed	disturbs
disturbance	disturbances				disturbances			
disturbed		disturbedly						
disturber					disturbers			
disturbing		disturbingly						
disunify						disunifying	disunified	
disunion					disunions			
disunite						disuniting	disunited	disunites
disunity					disunities			
disuse					disuses			
dit					dits			
dita					ditas			
ditch	ditched,ditches,ditching				ditches	ditching	ditched	ditches
dither	dithered,dithering,dithers				dithers	dithering	dithered	dithers
dithyramb					dithyrambs			
dithyrambic		dithyrambically						
dittany					dittanies			
ditto	dittos				dittoes,dittos	dittoing	dittoed	dittos
ditty	ditties				ditties			
diuresis	diureses				diureses			
diuretic	diuretics				diuretics			
diurnal		diurnally						
diva	divas,dive				dive			
divagate						divagating	divagated	divagates
divagation					divagations			
divalent				divalence				
divan	divans				divans			
divaricate						divaricating	divaricated	
dive	dived,dives,diving,dove				dives	diving	dove	dives
diver	divers				divers			
diverge	diverged,diverges,diverging					diverging	diverged	diverges
divergence	divergences				divergences			
divergency					divergencies			
divergent		divergently		divergence				
diverging		divergingly						
divers		diversly						
diverse		diversely						
diversification					diversifications			
diversify	diversified,diversifies,diversifying					diversifying	diversified	diversifies
diversion	diversions				diversions			
diversity					diversities			
divert	diverted,diverting,diverts					diverting	diverted	diverts
diverted		divertedly						
diverticulum	diverticula				diverticula			
divertimento	divertimenti,divertimentos				divertimenti			
diverting		divertingly						
divest	divested,divesting,divests					divesting	divested	divests
divestiture					divestitures			
divestment	divestments							
divide	divided,divides,dividing				divides	dividing	divided	divides
divided		dividedly						
dividend	dividends				dividends			
divider	dividers				dividers			
divination					divinations			
divine	divined,divines,divining	divinely	diviner,divinest	divinity	divines	divining	divined	divines
diviner					diviners			
divinity	divinities				divinities			
divisibility					divisibilities			
divisible		divisibly						
division	divisions				divisions			
divisional		divisionally						
divisive		divisively						
divisor	divisors				divisors			
divorce	divorced,divorces,divorcing				divorces	divorcing	divorced	divorces
divorcee					divorcees			
divorcement					divorcements			
divot					divots			
divulge	divulged,divulges,divulging					divulging	divulged	divulges
divulgence					divulgences			
divvy	divvied,divvies,divvying				divvies			
diwali	diwalis							
diwan					diwans			
dixie					dixies			
dizen						dizening	dizened	dizens
dizzy	dizzied,dizzying	dizzily	dizzier,dizziest	dizziness		dizzying	dizzied	dizzies
dj	djed,djing,djs							
djinn					djinns			
djinni								
djinny								
do	did,doing,done,dos,does					doing	did,done	does
dobbin					dobbins			
doberman					dobermans			
dobra					dobras			
dobson					dobsons			
dobsonfly					dobsonflies			
doc	docs				docs			
docent					docents			
docile				docility				
docility					docilities			
dock	docked,docking,docks				docks	docking	docked	docks
dockage					dockages			
docker	dockers				dockers			
docket	dockets				dockets	docketing	docketed	dockets
dockhand					dockhands			
dockland	docklands							
dockside					docksides			
dockyard	dockyards				dockyards			
doctor	doctored,doctoring,doctors				doctors	doctoring	doctored	doctors
doctoral		doctorally						
doctorate	doctorates				doctorates			
doctorfish					doctorfishes			
doctorial		doctorially						
doctrinal		doctrinally		doctrinality				
doctrine	doctrines				doctrines			
docudrama	docudramas				docudramas			
document	documented,documenting,documents				documents	documenting	documented	documents
documentary	documentaries	documentarily			documentaries			
documentation					documentations			
docusoap	docusoaps							
dod					dods			
dodder	doddered,doddering,dodders				dodders	doddering	doddered	dodders
dodderer					dodderers			
dodecahedron	dodecahedra,dodecahedrons				dodecahedra,dodecahedrons			
dodge	dodged,dodges,dodging				dodges	dodging	dodged	dodges
dodger	dodgers				dodgers			
dodgy		dodgily	dodgier,dodgiest	dodginess				
dodo	dodoes,dodos				dodoes			
doe								
doer	doers				doers			
doeskin					doeskins			
doff	doffed,doffing,doffs					doffing	doffed	doffs
dog	dogged,dogging,dogs				dogs	dogging	dogged	dogs
dogbane					dogbanes			
dogcart					dogcarts			
doge					doges			
dogfight	dogfights				dogfights	dogfighting		dogfights
dogfish					dogfishes			
dogged		doggedly						
doggerel					doggerels			
doggie								
doggy								
doghouse	doghouses				doghouses			
dogie								
dogleg	doglegs				doglegs			
dogma	dogmas,dogmata				dogmata			
dogmatic								
dogmatical								
dogmatise						dogmatising	dogmatised	
dogmatist					dogmatists			
dogmatize						dogmatizing	dogmatized	
dogsbody					dogsbodies			
dogsled					dogsleds			dogsleds
dogtooth					dogteeth			
dogtrot					dogtrots			
dogwatch					dogwatches			
dogwood	dogwoods				dogwoods			
dogy								
doily	doilies				doilies			
doing	doings							
dol					dols			
dole	doled,doles,doling				doles			
doleful		dolefully						
doll	dolled,dolling,dolls				dolls			
dollar	dollars				dollars			
dollarfish					dollarfishes			
dollhouse	dollhouses				dollhouses			
dollop	dollops				dollops			
dolly	dollies				dollies			
dolman					dolmans			
dolmen	dolmens				dolmens			
dolomite					dolomites			
dolor					dolors			
dolorous		dolorously						
dolour					dolours			
dolphin	dolphins				dolphins			
dolphinfish					dolphinfishes			
dolt	dolts				dolts			
doltish		doltishly						
domain	domains				domains			
domatium					domatia			
dome	domes				domes			
domestic	domestics	domestically		domesticity	domestics			
domesticate	domesticated,domesticates,domesticating					domesticating	domesticated	domesticates
domestication					domestications			
domesticity					domesticities			
domesticize							domesticized	
domicile	domiciles				domiciles	domiciling	domiciled	domiciles
domiciliate						domiciliating	domiciliated	
dominant		dominantly		dominance	dominants			
dominate	dominated,dominates,dominating					dominating	dominated	dominates
dominating		dominatingly						
domination					dominations			
dominatrix	dominatrices							
domine					domines			
domineer						domineering	domineered	domineers
domineering		domineeringly						
dominican	dominicans				dominicans			
dominick					dominicks			
dominie					dominies			
dominion	dominions				dominions			
domino	dominoes,dominos				dominoes			
dominus					domini			
don	donned,donning,dons				dons	donning	donned	dons
dona					donas			
donate	donated,donates,donating					donating	donated	donates
donation	donations				donations			
donee					donees			
dong					dongs	donging		dongs
dongle	dongles							
donjon					donjons			
donkey	donkeys				donkeys			
donna	donne				donnas			
donnish		donnishly						
donor	donors				donors			
donut	donuts				donuts			
doodad					doodads			
doodle	doodled,doodles,doodling				doodles	doodling	doodled	doodles
doofus	doofuses							
doohickey	doohickeys				doohickeys			
doom	doomed,dooming,dooms				dooms	dooming	doomed	dooms
doomsayer	doomsayers							
doomsday					doomsdays			
door	doors				doors			
doorbell	doorbells				doorbells			
doorjamb	doorjambs				doorjambs			
doorkeeper	doorkeepers							
doorknob	doorknobs				doorknobs			
doorknocker	doorknockers							
doorman	doormen							
doormat	doormats				doormats			
doornail					doornails			
doorplate	doorplates				doorplates			
doorpost	doorposts				doorposts			
doorsill					doorsills			
doorstep	doorsteps				doorsteps			
doorstop	doorstops				doorstops			
doorway	doorways				doorways			
dooryard					dooryards			
doozy	doozies							
dopa					dopas			
dopamine					dopamines			
dope	doped,dopes,doping				dopes	doping	doped	dopes
dopehead	dopeheads							
dopey								
doppelganger	doppelgangers							
dopy				dopiness				
dorado					dorados			
dork	dorks							
dorm	dorms				dorms			
dormancy					dormancies			
dormant		dormantly						
dormer	dormers				dormers			
dormitory	dormitories				dormitories			
dormouse	dormice				dormice			
dorp	dorps							
dorsal		dorsally						
dorsoventral		dorsoventrally		dorsoventrality				
dorsum	dorsa				dorsa			
dory					dories			
dos					doss			
dosage	dosages				dosages			
dose	dosed,dosing					dosing	dosed	
dosimeter					dosimeters			
dosimetry					dosimetries			
doss	dossed,dossing					dossing	dossed	
dossal					dossals			
dossel					dossels			
dosser					dossers			
dossier	dossiers				dossiers			
dot	dots,dotted,dotting				dots	dotting	dotted	dots
dotage					dotages			
dotard					dotards			
dotcom	dotcoms							
dote	doted,dotes						doted	dotes
doting		dotingly						
dotterel					dotterels			
dottle					dottles			
dotty		dottily	dottier,dottiest	dottiness				
double	doubled,doubles,doubling	doubly	doubler			doubling	doubled	doubles
doubleheader					doubleheaders			
doubler					doublers			
doublet	doublets				doublets			
doublewide	doublewides							
doubloon					doubloons			
doubt	doubted,doubting,doubts				doubts	doubting	doubted	doubts
doubter					doubters			
doubtful		doubtfully						
doubting		doubtingly						
douche	douches				douches	douching	douched	douches
dough	doughs				doughs			
